book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q478110,Город,Клиффорд Дональд Саймак,Gnome Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,Джон Уиндем,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307366,13 Great Stories of Science Fiction,G. C. Edmondson,Gold Medal Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7746889,Легион времени,Джек Уильямсон,Fantasy Press,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3478245,The Seedling Stars,Джеймс Блиш,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7712167,The Abyss of Wonders,Перли Пур Шиэн,Fantasy Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6059433,Invaders from the Infinite,Джон Вуд Кэмпбелл,Fantasy Press,США,1961,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5373014,Emma in Winter,Penelope Farmer,Harcourt,США,1966,английский язык,фэнтези
http://www.wikidata.org/entity/Q7720084,The Bridge of Light,Алфеус Хайат Веррил,Fantasy Press,США,1950,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5250319,Deep Space,Эрик Фрэнк Рассел,Fantasy Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q734493,Я — легенда,Ричард Мэтисон,Gold Medal Books,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5512076,G.O.G. 666,Эрик Темпл Белл,Fantasy Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7883414,Under the Triple Suns,Stanton Arthur Coblentz,Fantasy Press,США,1955,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7820290,Tomorrow and Tomorrow & The Fairy Chessmen,Lewis Padgett,Gnome Press,США,1951,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6056337,Interplanetary Hunter,Arthur K. Barnes,Gnome Press,США,1956,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5148384,Колониальная служба,Мюррей Лейнстер,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5086142,Charlotte Sometimes,Penelope Farmer,Harcourt,США,1969,английский язык,фэнтези
http://www.wikidata.org/entity/Q3045043,Добывайки,Мэри Нортон,Harcourt,США,1952,английский язык,фэнтези
http://www.wikidata.org/entity/Q7729137,The Dawning Light,Randall Garrett,Gnome Press,США,1959,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7718075,The Bird of Time,Wallace West,Gnome Press,США,1959,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7712491,The Adventures of Alyx,Джоанна Расс,Gregg Press,США,1976,английский язык,фэнтези
http://www.wikidata.org/entity/Q7487473,Shambleau and Others,Кэтрин Люсиль Мур,Gnome Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3523959,They'd Rather Be Right,Фрэнк Райли,Gnome Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3523959,They'd Rather Be Right,Фрэнк Райли,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7096715,Операция «Космос»,Мюррей Лейнстер,Fantasy Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6059433,Invaders from the Infinite,Джон Вуд Кэмпбелл,Gnome Press,США,1961,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7443559,Линзмены второго уровня,Эдвард Элмер Смит,Fantasy Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7764066,The Shrouded Planet,Randall Garrett,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3523959,They'd Rather Be Right,Марк Клифтон,Gnome Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3523959,They'd Rather Be Right,Марк Клифтон,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7736906,The God Machine,Мартин Кейдин,Dutton,США,1968,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7729137,The Dawning Light,Роберт Силверберг,Gnome Press,США,1959,английский язык,научная фантастика
http://www.wikidata.org/entity/Q1168810,House of Stairs,William Sleator,Dutton,США,1974,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7764066,The Shrouded Planet,Роберт Силверберг,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3786241,Earthman's Burden,Гордон Диксон,Gnome Press,США,1957,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7572407,Space Lawyer,Nat Schachner,Gnome Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7060280,Northwest of Earth,Кэтрин Люсиль Мур,Gnome Press,США,1954,английский язык,научная фантастика
http://www.wikidata.org/entity/Q6746397,Man of Many Minds,Эдвард Эверетт Эванс,Fantasy Press,США,1953,английский язык,научная фантастика
http://www.wikidata.org/entity/Q99198153,Q99198153,Juan Gallardo Muñoz,Ediciones Toray,Испания,1958,испанский язык,научная фантастика
http://www.wikidata.org/entity/Q1048615,Кибериада,Станислав Лем,Harcourt,США,1965,польский язык,научная фантастика
http://www.wikidata.org/entity/Q1048615,Кибериада,Станислав Лем,Harcourt,США,1985,польский язык,научная фантастика
http://www.wikidata.org/entity/Q7748812,The Lost Worlds of 2001,Артур Чарльз Кларк,New American Library,США,1972,,научная фантастика
