book,bookLabel,author,authorLabel,genreLabel,pubDate,publisherLabel
http://www.wikidata.org/entity/Q874492,"Пролейтесь, слёзы...",http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1974-02-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q1138582,Трансмиграция Тимоти Арчера,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1982-03-01T00:00:00Z,Simon & Schuster
http://www.wikidata.org/entity/Q1150125,Пыточных дел мастер,http://www.wikidata.org/entity/Q361149,Джин Вулф,научная фантастика,1980-05-01T00:00:00Z,Simon & Schuster
http://www.wikidata.org/entity/Q741013,Контакт,http://www.wikidata.org/entity/Q410,Карл Эдвард Саган,научная фантастика,1985-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q460759,Rautavaara's Case,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1980-10-01T00:00:00Z,
http://www.wikidata.org/entity/Q853427,The Belonging Kind,http://www.wikidata.org/entity/Q1346126,Джон Ширли,научная фантастика,1981-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q788777,Завтрак для чемпионов,http://www.wikidata.org/entity/Q49074,Курт Воннегут,научная фантастика,1973-01-01T00:00:00Z,Dell Publishing
http://www.wikidata.org/entity/Q831556,Зеркальное отражение,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1972-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q651682,Врата,http://www.wikidata.org/entity/Q312641,Фредерик Пол,научная фантастика,1976-11-01T00:00:00Z,St. Martin's Press
http://www.wikidata.org/entity/Q468132,Двухсотлетний человек,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1976-02-01T00:00:00Z,
http://www.wikidata.org/entity/Q128324,Врата Анубиса,http://www.wikidata.org/entity/Q363810,Тим Пауэрс,научная фантастика,1983-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q588035,Планета изгнания,http://www.wikidata.org/entity/Q181659,Урсула Крёбер Ле Гуин,научная фантастика,1966-10-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q465801,Световирши,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1973-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1747536,Город кешей,http://www.wikidata.org/entity/Q312632,Джек Вэнс,научная фантастика,1968-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q1168810,House of Stairs,http://www.wikidata.org/entity/Q1515266,William Sleator,научная фантастика,1974-01-01T00:00:00Z,Dutton
http://www.wikidata.org/entity/Q828031,Воспламеняющая взглядом,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1980-09-29T00:00:00Z,Viking Press
http://www.wikidata.org/entity/Q653150,Поиск,http://www.wikidata.org/entity/Q220883,Пол Уильям Андерсон,научная фантастика,1983-01-01T00:00:00Z,Арес
http://www.wikidata.org/entity/Q513036,Штамм «Андромеда»,http://www.wikidata.org/entity/Q172140,Майкл Крайтон,научная фантастика,1969-05-12T00:00:00Z,
http://www.wikidata.org/entity/Q1163516,Сердце Змеи,http://www.wikidata.org/entity/Q54828,Иван Антонович Ефремов,научная фантастика,1962-01-01T00:00:00Z,Правда
http://www.wikidata.org/entity/Q782075,Снежная королева,http://www.wikidata.org/entity/Q268371,Джоан Виндж,научная фантастика,1980-04-01T00:00:00Z,Dial Press
http://www.wikidata.org/entity/Q1708598,Чтобы мы не помнили,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1982-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q745250,Dangerous Visions,http://www.wikidata.org/entity/Q311253,Харлан Эллисон,научная фантастика,1967-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q661438,Отсев,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1976-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q25551,Бегущий человек,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1982-05-01T00:00:00Z,New American Library
http://www.wikidata.org/entity/Q1055813,Эон,http://www.wikidata.org/entity/Q317491,Грег Бир,научная фантастика,1985-08-01T00:00:00Z,
http://www.wikidata.org/entity/Q741222,Свидание с Рамой,http://www.wikidata.org/entity/Q47087,Артур Чарльз Кларк,научная фантастика,1973-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q2356615,Вертикальный мир,http://www.wikidata.org/entity/Q314553,Роберт Силверберг,научная фантастика,1971-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q2652159,Удар Ступнёй,http://www.wikidata.org/entity/Q578031,Джерри Пурнель,научная фантастика,1985-05-12T00:00:00Z,Del Rey Books
http://www.wikidata.org/entity/Q2419461,Остров,http://www.wikidata.org/entity/Q81447,Олдос Хаксли,научная фантастика,1962-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2996937,Знак Единорога,http://www.wikidata.org/entity/Q295406,Роджер Желязны,научная фантастика,1975-02-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q2188666,Этот идеальный день,http://www.wikidata.org/entity/Q317631,Айра Левин,научная фантастика,1970-01-01T00:00:00Z,Random House
http://www.wikidata.org/entity/Q1463723,Shikasta,http://www.wikidata.org/entity/Q40874,Дорис Лессинг,научная фантастика,1979-01-01T00:00:00Z,Alfred A. Knopf
http://www.wikidata.org/entity/Q2307397,"У меня нет рта, но я должен кричать",http://www.wikidata.org/entity/Q311253,Харлан Эллисон,научная фантастика,1967-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q929608,Кланы Альфанской луны,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1964-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q2741407,Белая чума,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1982-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q1199660,Стальная мечта,http://www.wikidata.org/entity/Q455951,Норман Спинрад,научная фантастика,1972-09-01T00:00:00Z,Avon Publications
http://www.wikidata.org/entity/Q3055501,Глубокое исследование,http://www.wikidata.org/entity/Q34981,Айзек Азимов,научная фантастика,1968-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2196893,Полёт дракона,http://www.wikidata.org/entity/Q233046,Энн Маккефри,научная фантастика,1968-07-01T00:00:00Z,Ballantine Books
http://www.wikidata.org/entity/Q1623320,Опрокинутый мир,http://www.wikidata.org/entity/Q707796,Кристофер Прист,научная фантастика,1974-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q2268391,Излом времени,http://www.wikidata.org/entity/Q257261,Мадлен Л’Энгл,научная фантастика,1962-01-01T00:00:00Z,"Farrar, Straus and Giroux"
http://www.wikidata.org/entity/Q1463723,Shikasta,http://www.wikidata.org/entity/Q40874,Дорис Лессинг,научная фантастика,1979-01-01T00:00:00Z,Jonathan Cape
http://www.wikidata.org/entity/Q1190888,Мошка в зенице Господней,http://www.wikidata.org/entity/Q578031,Джерри Пурнель,научная фантастика,1974-11-01T00:00:00Z,Simon & Schuster
http://www.wikidata.org/entity/Q2996611,Ружья Авалона,http://www.wikidata.org/entity/Q295406,Роджер Желязны,научная фантастика,1972-01-01T00:00:00Z,Doubleday
http://www.wikidata.org/entity/Q2738255,Инженеры Кольца,http://www.wikidata.org/entity/Q316610,Ларри Нивен,научная фантастика,1979-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q2249908,Высотка,http://www.wikidata.org/entity/Q140201,Джеймс Баллард,научная фантастика,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317921,Сдвиг времени по-марсиански,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1964-01-01T00:00:00Z,Ballantine Books
