bookQID,bookLabel,authorLabel,publisherLabel,countryLabel,year,genreLabel,pageCount,languageLabel,literaryMovementLabel
Q19364464,Ястреб,Стивен Браст,Tor Books,США,2014,,,английский язык,
Q131743723,Q131743723,Личия Троиси,Arnoldo Mondadori Editore,Италия,2013,,,итальянский язык,
Q20545178,Q20545178,Manuel Gago Mariño,Edicións Xerais de Galicia,Испания,2013,,152,галисийский язык,
Q16209219,Blood of Tyrants,Наоми Новик,Del Rey Books,,2013,,,американский вариант английского языка,
Q16843305,Bloodfire Quest,Терренс Дин Брукс,Del Rey Books,,2013,,,английский язык,
Q105955818,Curse of the Dream Witch,Аллан Стрэттон,Scholastic Corporation,США,2013,,,,
Q28060958,Czarownica piętro niżej,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2013,,,польский язык,
Q16385565,Echoes of the Goddess,Даррелл Швейцер,Wildside Press,США,2013,,,английский язык,
Q16256097,Jimmy and the Crawler,Раймонд Фэйст,HarperCollins,США,2013,,,английский язык,
Q30678307,Pantomime,L. R. Lam,Angry Robot,Великобритания,2013,,,английский язык,
Q19947404,Tales of Majipoor,Роберт Силверберг,Victor Gollancz,Великобритания,2013,,,американский вариант английского языка,
Q19881261,The Black Irix,Терренс Дин Брукс,Del Rey Books,,2013,,,английский язык,
Q7721225,The Canticle of Whispers,David Whitley,Puffin Books,Великобритания,2013,,,английский язык,
Q16385593,The Emperor of the Ancient Word and Other Fantastic Stories,Даррелл Швейцер,Borgo Press,США,2013,,,английский язык,
Q107210718,The Ghost Bride,Yangsze Choo,William Morrow and Company,США,2013,,,,
Q20926183,The Goblin Master's Grimoire,Jim C. Hines,ISFiC Press,,2013,,,английский язык,
Q123550891,The Hidden Kingdom,Туи Сазерленд,Scholastic Corporation,США,2013,,,английский язык,
Q123550873,The Lost Heir,Туи Сазерленд,Scholastic Corporation,США,2013,,,английский язык,
Q15989239,The Royal Ranger: A New Beginning,Джон Флэнеган,Random House,США,2013,,,английский язык,
Q103963060,The Shadow of Gods,Brian D. Anderson,Brian D. Anderson,,2013,,317,английский язык,
Q48784858,The Thinking Woman's Guide to Real Magic,Emily Croy Barker,Penguin Group,Великобритания,2013,,,английский язык,
Q19881751,The Weapon Master's Choice,Терренс Дин Брукс,Del Rey Books,,2013,,,английский язык,
Q22911731,Unfettered,"Салливан, Майкл Дж. (писатель)",Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Kevin Hearne,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Eldon Thompson,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Лев Гроссман,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Peter V. Brett,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Дэниел Абрахам,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Дэвид Энтони Дарем,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Марк Лоуренс,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Тодд Локвуд,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Carrie Vaughn,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Патрик Ротфусс,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Брендон Сандерсон,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Тэд Уильямс,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Терренс Дин Брукс,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Наоми Новик,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,Жаклин Кэри,Grim Oak Press,США,2013,,,английский язык,
Q22911731,Unfettered,"Салливан, Майкл Дж. (писатель)",Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Kevin Hearne,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Eldon Thompson,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Лев Гроссман,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Peter V. Brett,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Дэниел Абрахам,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Дэвид Энтони Дарем,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Марк Лоуренс,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Тодд Локвуд,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Carrie Vaughn,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Патрик Ротфусс,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Брендон Сандерсон,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Тэд Уильямс,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Терренс Дин Брукс,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Наоми Новик,Orbit Books,,2013,,,английский язык,
Q22911731,Unfettered,Жаклин Кэри,Orbit Books,,2013,,,английский язык,
Q18788018,Vicious,Виктория Шваб,Tor Books,США,2013,,,английский язык,
Q18209547,Вернувшиеся,Jason Mott,Mira Books,Канада,2013,,,английский язык,
Q17631996,Дневная битва,Peter V. Brett,HarperCollins,США,2013,,,американский вариант английского языка,
Q2274863,Дом Аида,Рик Риордан,Hyperion Books,США,2013,,,английский язык,
Q17142369,Кровавый завет,Brian McClellan,Orbit Books,,2013,,,английский язык,
Q10455262,Механическая принцесса,Кассандра Клэр,Simon & Schuster,США,2013,,,английский язык,
Q107418194,Невинность,Дин Кунц,Bantam Books,США,2013,,,английский язык,
Q14548336,Океан в конце дороги,Нил Гейман,Yedioth Books,Израиль,2013,,,британский вариант английского языка,
Q14548336,Океан в конце дороги,Нил Гейман,Yedioth Books,Израиль,2013,,,английский язык,
Q16724456,Опасные женщины,Меган Эбботт,Tor Books,США,2013,,,английский язык,
Q7746113,Последний порог,Роберт Сальваторе,Wizards of the Coast,США,2013,,,английский язык,
Q109303292,Похитители снов,Мэгги Стивотер,Scholastic Corporation,США,2013,,,американский вариант английского языка,
Q3988978,Республика воров,Скотт Линч,Victor Gollancz,Великобритания,2013,,,английский язык,
